Company Name,,Address,,GSTIN,,State,,LayoutTemplate,,TaxType
CVR LIFE SCIENCES PRIVATE LIMITED,,"2nd Floor,8-2-293/82/A/379 and 379A,Road No.10,Jubilee Hills,Hyderabad,Telangana-500033",,36AADCN5775F1Z9,,Telangana,,Standard,,CGST_SGST
Dextara Digital Pvt Ltd,,"Floor-2, Door No 1/18 HIE NR-3, Fairfield by Marriott Building,
 Nanakramguda serlingampally, Financial District, Hyderabad,
 Rangareddy, Telangana, 500032",,36AAHCD4687N1ZX,,Telangana,,Standard,,CGST_SGST
Elemmentz Living Pvt Ltd,,"# 103 , 1st Floor, KKR Square, Opp. Best Western Hotel, Road no.36, Jubilee Hills, Hyderabad.TS.-500033",,36AAGCE8147F1ZJ,,Telangana,,Standard,,CGST_SGST
Enterprise Minds India Private Limited,,"6th Floor,B BLOCK,Q CITY ,NANAKRAMGUDA,FINANCIAL DISTRICT,HYDERABAD-500033",,36AAFCE9950M1Z0,,Telangana,,Standard,,CGST_SGST
Offshore HCL Global Systems(I) Pvt Ltd,,"7-1-621/60,94/2RT,SR Nagar,Hyderabad Telangana 500038",,36AACCO0244P1ZA,,Telangana,,Standard,,CGST_SGST
HEALTHONUS TECHNOLOGIES Pvt Ltd,,"II,131,Dwaraka Icon,Kavuri Hills Road ,Madhapur,Hyderabad,Rangareddy,Telangana-500033",,36AAGCH4801F1ZV,,Telangana,,Standard,,CGST_SGST
Insurance Information Bureau of India,,"Plot No. 38/39, First Floor, APSFC Building,Financial District, Hyderabad, Telangana, 500032",,36AAAAI6771M1Z8,,Telangana,,Standard,,CGST_SGST
Intonation Research Laboratories,,"A-1B, Chilk Nagar Main Rd, Industrial Development Area,Nacharam, Secunderabad,Telangana 500076",,36AADCI2579J1Z9,,Telangana,,Standard,,CGST_SGST
NEWMARK CRE SERVICES PRIVATE LIMITED,,"Westin, 11, 9, Raheja Mindspace IT Park, Cyberabad, Business S. No. 64 Part, Madhapur, Hyderabad, Rangareddy, Telangana, 500081",,36AAICK3043Q1Z3,,Telangana,,Standard,,CGST_SGST
Safran Electrical & Power Private Limited,,"Plot #7B,GMR Aerospace & Industrial Park,GMR Hyderabad
 Aviation SEZ Limited,Mamidipally Village,Shamshabad Mandal,
 Ranga Reddy Dist,Hyderabad-500108,Telangana state,India",,36ABBCS5682H1Z2,,Telangana,,SEZ,,IGST
Safran Aircraft Engines Hyderabad Private Limited,,"Plot #6(3),GMR Aerospace & Industrial Park,GMR Hyderabad
 Aviation SEZ Limited,Mamidipally Village,Shamshabad Mandal,
 Ranga Reddy Dist,Hyderabad-500108,Telangana state,India",,36ABBCS5682H1Z2,,Telangana,,SEZ,,IGST
Skyroot Aerospace HQ (Max-Q Campus),,"Survey No. 99/1, Plot No 4B and 4B/1,GMR Hyderabad Aviation Sez Limited,GMR Aerospace And Industrial Park,Mamidipally, Hyderabad, Rangareddy, Telangana-500108",,36ABACS4468C2ZE,,Telangana,,SEZ,,IGST
SKYROOT AEROSPACE PRIVATE LIMITED,,"UDL 17, SY NO 1/1,Skyroot Infinity Campus,Imarath Kancha Hardware Park, Srisailam Road,Grape Park Cold Storage Cooperative Ltd,Pahadi Shariff,Hyderabad,Telangana-500005",,36ABACS4468C1ZF,,Telangana,,Standard,,IGST
Safran Aircraft Engine Services India Pvt. Ltd.,,"Plot No.2 GMR Aerospace & Industrial Park,RGIA, Shamshabad, Hyderabad 500108 Dist. RangaReddy, Telangana, India,",,36ABKCS4799L2ZB,,Telangana,,SEZ,,IGST